,Code,Country,Image URL
0,AFG,Afghanistan,http://commons.wikimedia.org/wiki/Special:FilePath/Minaret%20of%20jam%202009%20ghor.jpg
1,ALB,Albania,http://commons.wikimedia.org/wiki/Special:FilePath/Taivani%20Tirana%202016.jpg
2,DZA,Algeria,http://commons.wikimedia.org/wiki/Special:FilePath/Karte%20R%C3%B6mische%20St%C3%A4dte%20in%20Nordafrika.svg
3,AND,Andorra,http://commons.wikimedia.org/wiki/Special:FilePath/Banyell.jpg
4,AGO,Angola,http://commons.wikimedia.org/wiki/Special:FilePath/Pal%C3%A1cio%20de%20Ferro.jpg
5,ATG,Antigua and Barbuda,http://commons.wikimedia.org/wiki/Special:FilePath/Antigua%20-%20Governor%27s%20Residence.jpg
6,ARG,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/C%C3%A1rcel%20de%20Devoto%20Buenos%20Aires.jpg
7,ARM,Armenia,http://commons.wikimedia.org/wiki/Special:FilePath/Voskepar%20Fortress%2007.jpg
8,ABW,Aruba,http://commons.wikimedia.org/wiki/Special:FilePath/Arend%20Petroleummij%2017%2047%2034%20873000.jpeg
9,AUS,Australia,http://commons.wikimedia.org/wiki/Special:FilePath/Sydney%20Opera%20House%20Sails.jpg
10,AUT,Austria,http://commons.wikimedia.org/wiki/Special:FilePath/Rakouske%20alpy%201.jpg
11,AZE,Azerbaijan,http://commons.wikimedia.org/wiki/Special:FilePath/Tigranakert3.jpg
12,BHS,Bahamas,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Royal%20Tower%20Atlantis%20Paradise%20Island%20photo%20D%20Ramey%20Logan.jpg
13,BHR,Bahrain,http://commons.wikimedia.org/wiki/Special:FilePath/Bahrain%20Fort%207.jpg
14,BGD,Bangladesh,http://commons.wikimedia.org/wiki/Special:FilePath/Library%28Science%20section%29%20DU.JPG
15,BRB,Barbados,http://commons.wikimedia.org/wiki/Special:FilePath/FRANCIA%20GREAT%20HOUSE%20BARBADOS.jpg
16,BLR,Belarus,http://commons.wikimedia.org/wiki/Special:FilePath/BrestFortress7.JPG
17,BEL,Belgium,http://commons.wikimedia.org/wiki/Special:FilePath/Bruxelles%20Manneken%20Pis.jpg
18,BLZ,Belize,http://commons.wikimedia.org/wiki/Special:FilePath/Marco%20Gonzalez%20Reserve%20Entrance.jpg
19,BEN,Benin,http://commons.wikimedia.org/wiki/Special:FilePath/Vue%20d%27entr%C3%A9e%20du%20site%20des%20hommes%20%C3%A0%20queue%20a%20Dogo%20au%20B%C3%A9nin.jpg
20,BOL,Bolivia,http://commons.wikimedia.org/wiki/Special:FilePath/00%201635%20Reed%20Islands%20of%20Lake%20Titicaca.jpg
21,BIH,Bosnia and Herzegovina,http://commons.wikimedia.org/wiki/Special:FilePath/Krunidbeno%20mjesto%20bosanskih%20kraljeva%202.jpg
22,BWA,Botswana,http://commons.wikimedia.org/wiki/Special:FilePath/Tsodilo%20rock%20paintings%201.jpg
23,BRA,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Christ%20the%20Redeemer%20-%20Cristo%20Redentor.jpg
24,BRN,Brunei,http://commons.wikimedia.org/wiki/Special:FilePath/Bandar%20Seri%20Begawan%2028%20July%202022%2012.jpg
25,BGR,Bulgaria,http://commons.wikimedia.org/wiki/Special:FilePath/AlexanderNevskyCathedral-Sofia-6.jpg
26,BFA,Burkina Faso,http://commons.wikimedia.org/wiki/Special:FilePath/2016.05-441-131ap%20wall%20Lorop%C3%A9ni%20Ruins%20nr.Lorop%C3%A9ni%28Poni%20Prv.%29%2CBF%20sun15may2016-1106h.jpg
27,BDI,Burundi,http://commons.wikimedia.org/wiki/Special:FilePath/Bujumbura%20monument%20unite.jpg
28,KHM,Cambodia,http://commons.wikimedia.org/wiki/Special:FilePath/Phnom%20Banan.JPG
29,CMR,Cameroon,http://commons.wikimedia.org/wiki/Special:FilePath/River%20Donga%203.jpg
30,CAN,Canada,http://commons.wikimedia.org/wiki/Special:FilePath/Niagara%20Falls%20USA%20Canada%20from%20Skylon%20Tower%20on%202002-05-28%2C%20full%20size.jpg
31,CPV,Cape Verde,http://commons.wikimedia.org/wiki/Special:FilePath/Tarrafal%20City%20Hall.jpg
32,CYM,Cayman Islands,http://commons.wikimedia.org/wiki/Special:FilePath/Stingray%20CIty%20in%20Grand%20Cayman.jpg
33,CAF,Central African Republic,http://commons.wikimedia.org/wiki/Special:FilePath/Roo%20-%20Chimpanzee%20-%20Central%20African%20Republic.jpg
34,TCD,Chad,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20Arms%20of%20Chad.svg
35,CHL,Chile,http://commons.wikimedia.org/wiki/Special:FilePath/Ahu%20Tongariki.jpg
36,CHN,China,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Great%20Wall%20of%20China%20at%20Jinshanling-edit.jpg
37,COL,Colombia,http://commons.wikimedia.org/wiki/Special:FilePath/Edificio%20Alcald%C3%ADa%20de%20Bucaramanga.jpg
38,CRI,Costa Rica,http://commons.wikimedia.org/wiki/Special:FilePath/Parque%20de%20las%20Esferas%20de%20Costa%20Rica.JPG
