,Code,Budget
0,AUS,6106.631890460318
1,AUT,816.4049179537939
2,BEL,1088.3961491396094
3,BGR,1202.685053945193
4,BRA,1490.082090569834
5,CAN,1238.5855080298206
6,CHE,1157.0618265104397
7,CHL,716.7810757627974
8,COL,2775.845927377214
9,CRI,1867.4699440470954
10,CZE,899.4518156707221
11,DEU,1266.1698564066605
12,DNK,567.9125886413946
13,ESP,1195.9969520417321
14,EST,783.3899101328589
15,FIN,1046.2163690031937
16,FRA,778.3797759094019
17,GBR,1485.4326530636838
18,GRC,898.9470370866856
19,HRV,1204.1838212104592
20,HUN,688.1271672865475
21,IDN,3114.832358167175
22,IRL,458.6322277464424
23,ISL,972.9544549333448
24,ISR,1512.1544560534917
25,ITA,977.9595502692453
26,LTU,1047.7454813012862
27,LUX,4777.596792286185
28,LVA,867.0785155025063
29,MEX,976.8393947009281
30,MLT,953.943470652466
31,NLD,1001.1209849869977
32,NOR,778.9537052201455
33,NZL,2677.42835511885
34,POL,1358.8152698771755
35,PRT,1598.0096968501723
36,ROU,2372.116690507035
37,RUS,1297.654111437042
38,SAU,1676.9687751494423
39,SVK,756.0724381356741
40,SVN,1030.2448310620096
41,SWE,1212.3282007727144
42,TUR,1242.3907757808572
43,USA,2700.962442908871
44,ZAF,1873.0842000024195
