,Code,Natural sites
0,ALB,2
1,ARG,5
2,AUS,16
3,AUT,1
4,AZE,1
5,BEL,1
6,BEN,1
7,BFA,1
8,BGD,1
9,BGR,3
10,BIH,2
11,BLR,1
12,BLZ,1
13,BOL,1
14,BRA,9
15,BWA,1
16,CAF,2
17,CAN,12
18,CHE,4
19,CHN,19
20,CIV,3
21,CMR,2
22,COD,5
23,COG,2
24,COL,3
25,CRI,3
26,CUB,2
27,CZE,1
28,DEU,3
29,DMA,1
30,DNK,3
31,DZA,1
32,ECU,2
33,EGY,1
34,ESP,6
35,ETH,2
36,FIN,1
37,FRA,9
38,GAB,2
39,GBR,6
40,GEO,1
41,GIN,1
42,GRC,2
43,GTM,1
44,HND,1
45,HRV,2
46,HUN,1
47,IDN,4
48,IND,8
49,IRN,2
50,IRQ,1
51,ISL,2
52,ITA,6
53,JAM,1
54,JOR,1
55,JPN,5
56,KAZ,3
57,KEN,3
58,KGZ,1
59,KIR,1
60,KOR,2
61,LCA,1
62,LKA,2
63,LSO,1
64,MDG,2
65,MEX,8
66,MKD,2
67,MLI,1
68,MNE,1
69,MNG,2
70,MRT,1
71,MWI,1
72,MYS,2
73,NAM,1
74,NER,2
75,NLD,1
76,NOR,1
77,NPL,2
78,NZL,3
79,PAN,3
80,PER,4
81,PHL,3
82,PLW,1
83,POL,2
84,PRT,1
85,ROU,2
86,RUS,11
87,RWA,1
88,SAU,1
89,SDN,1
90,SEN,2
91,SLB,1
92,SUR,1
93,SVK,2
94,SVN,2
95,SWE,2
96,SYC,2
97,TCD,2
98,THA,3
99,TJK,2
100,TKM,1
101,TUN,1
102,TUR,2
103,TZA,4
104,UGA,2
105,UKR,1
106,USA,13
107,UZB,2
108,VEN,1
109,VNM,3
110,YEM,1
111,ZAF,5
112,ZMB,1
113,ZWE,2
